group,function,value,sample_time_nanos,iteration_count
download medium file,with varying levels of parallelism,48,2175091353.0,1
download medium file,with varying levels of parallelism,48,5410473614.0,2
download medium file,with varying levels of parallelism,48,6940420096.0,3
download medium file,with varying levels of parallelism,48,6737689756.0,4
download medium file,with varying levels of parallelism,48,8555094974.0,5
download medium file,with varying levels of parallelism,48,12532058091.0,6
download medium file,with varying levels of parallelism,48,13609220023.0,7
download medium file,with varying levels of parallelism,48,17424904299.0,8
download medium file,with varying levels of parallelism,48,16071803781.0,9
download medium file,with varying levels of parallelism,48,23229919379.0,10
download medium file,with varying levels of parallelism,48,24420712630.0,11
download medium file,with varying levels of parallelism,48,24669961684.0,12
download medium file,with varying levels of parallelism,48,31211929543.0,13
download medium file,with varying levels of parallelism,48,27207664027.0,14
download medium file,with varying levels of parallelism,48,35883331982.0,15
download medium file,with varying levels of parallelism,48,30516227170.0,16
download medium file,with varying levels of parallelism,48,31037739534.0,17
download medium file,with varying levels of parallelism,48,33418905422.0,18
download medium file,with varying levels of parallelism,48,39459160241.0,19
download medium file,with varying levels of parallelism,48,54089892367.0,20
