group,function,value,sample_time_nanos,iteration_count
download large file,with varying levels of parallelism,6,6926433637.0,1
download large file,with varying levels of parallelism,6,15565261760.0,2
download large file,with varying levels of parallelism,6,22793313636.0,3
download large file,with varying levels of parallelism,6,31627074778.0,4
download large file,with varying levels of parallelism,6,36424809619.0,5
download large file,with varying levels of parallelism,6,46882114510.0,6
download large file,with varying levels of parallelism,6,57954983675.0,7
download large file,with varying levels of parallelism,6,55594207429.0,8
download large file,with varying levels of parallelism,6,66441453477.0,9
download large file,with varying levels of parallelism,6,73668330591.0,10
download large file,with varying levels of parallelism,6,81121675838.0,11
download large file,with varying levels of parallelism,6,88632044108.0,12
download large file,with varying levels of parallelism,6,106859444637.0,13
download large file,with varying levels of parallelism,6,109087912885.0,14
download large file,with varying levels of parallelism,6,109867428230.0,15
download large file,with varying levels of parallelism,6,113440927544.0,16
download large file,with varying levels of parallelism,6,121662920748.0,17
download large file,with varying levels of parallelism,6,131525355533.0,18
download large file,with varying levels of parallelism,6,139863920356.0,19
download large file,with varying levels of parallelism,6,141312352249.0,20
