group,function,value,sample_time_nanos,iteration_count
download medium file,with varying levels of parallelism,48,782257537.0,1
download medium file,with varying levels of parallelism,48,1236935432.0,2
download medium file,with varying levels of parallelism,48,1749246801.0,3
download medium file,with varying levels of parallelism,48,11163622395.0,4
download medium file,with varying levels of parallelism,48,7714711005.0,5
download medium file,with varying levels of parallelism,48,8371977539.0,6
download medium file,with varying levels of parallelism,48,18013640603.0,7
download medium file,with varying levels of parallelism,48,9652561679.0,8
download medium file,with varying levels of parallelism,48,6080245239.0,9
download medium file,with varying levels of parallelism,48,19620852279.0,10
download medium file,with varying levels of parallelism,48,15371306798.0,11
download medium file,with varying levels of parallelism,48,11992574556.0,12
download medium file,with varying levels of parallelism,48,17228862747.0,13
download medium file,with varying levels of parallelism,48,17371412606.0,14
download medium file,with varying levels of parallelism,48,9705112775.0,15
download medium file,with varying levels of parallelism,48,14578106536.0,16
download medium file,with varying levels of parallelism,48,19887148504.0,17
download medium file,with varying levels of parallelism,48,20551967923.0,18
download medium file,with varying levels of parallelism,48,34571313815.0,19
download medium file,with varying levels of parallelism,48,26072522433.0,20
