group,function,value,sample_time_nanos,iteration_count
download small file,with varying degrees of parallelism,1,104923635.0,1
download small file,with varying degrees of parallelism,1,172226818.0,2
download small file,with varying degrees of parallelism,1,296685294.0,3
download small file,with varying degrees of parallelism,1,480317937.0,4
download small file,with varying degrees of parallelism,1,608503390.0,5
download small file,with varying degrees of parallelism,1,703926598.0,6
download small file,with varying degrees of parallelism,1,823718493.0,7
download small file,with varying degrees of parallelism,1,944561927.0,8
download small file,with varying degrees of parallelism,1,1108780673.0,9
download small file,with varying degrees of parallelism,1,1099381622.0,10
download small file,with varying degrees of parallelism,1,1252408367.0,11
download small file,with varying degrees of parallelism,1,1470162270.0,12
download small file,with varying degrees of parallelism,1,1410292178.0,13
download small file,with varying degrees of parallelism,1,1647986611.0,14
download small file,with varying degrees of parallelism,1,1733382910.0,15
download small file,with varying degrees of parallelism,1,1893985935.0,16
download small file,with varying degrees of parallelism,1,1816443353.0,17
download small file,with varying degrees of parallelism,1,1886165920.0,18
download small file,with varying degrees of parallelism,1,2313906323.0,19
download small file,with varying degrees of parallelism,1,1979263494.0,20
