group,function,value,sample_time_nanos,iteration_count
download medium file,with varying levels of parallelism,6,705266292.0,1
download medium file,with varying levels of parallelism,6,3532175170.0,2
download medium file,with varying levels of parallelism,6,3762309257.0,3
download medium file,with varying levels of parallelism,6,6459182674.0,4
download medium file,with varying levels of parallelism,6,3168405867.0,5
download medium file,with varying levels of parallelism,6,3703616201.0,6
download medium file,with varying levels of parallelism,6,6930177080.0,7
download medium file,with varying levels of parallelism,6,6240882304.0,8
download medium file,with varying levels of parallelism,6,5917198972.0,9
download medium file,with varying levels of parallelism,6,11108828957.0,10
download medium file,with varying levels of parallelism,6,7039095995.0,11
download medium file,with varying levels of parallelism,6,12229524961.0,12
download medium file,with varying levels of parallelism,6,7907548096.0,13
download medium file,with varying levels of parallelism,6,14844976328.0,14
download medium file,with varying levels of parallelism,6,15862917936.0,15
download medium file,with varying levels of parallelism,6,17006978258.0,16
download medium file,with varying levels of parallelism,6,15094030438.0,17
download medium file,with varying levels of parallelism,6,11892393113.0,18
download medium file,with varying levels of parallelism,6,14940172407.0,19
download medium file,with varying levels of parallelism,6,17553576672.0,20
