group,function,value,sample_time_nanos,iteration_count
download medium file,with varying levels of parallelism,12,871042553.0,1
download medium file,with varying levels of parallelism,12,1593101165.0,2
download medium file,with varying levels of parallelism,12,2398104634.0,3
download medium file,with varying levels of parallelism,12,3299258175.0,4
download medium file,with varying levels of parallelism,12,4056691489.0,5
download medium file,with varying levels of parallelism,12,4994329202.0,6
download medium file,with varying levels of parallelism,12,7683941729.0,7
download medium file,with varying levels of parallelism,12,10752739129.0,8
download medium file,with varying levels of parallelism,12,7135636425.0,9
download medium file,with varying levels of parallelism,12,8268463704.0,10
download medium file,with varying levels of parallelism,12,15276233425.0,11
download medium file,with varying levels of parallelism,12,19617472928.0,12
download medium file,with varying levels of parallelism,12,21370500972.0,13
download medium file,with varying levels of parallelism,12,14313276822.0,14
download medium file,with varying levels of parallelism,12,18150622156.0,15
download medium file,with varying levels of parallelism,12,16010714082.0,16
download medium file,with varying levels of parallelism,12,21072674278.0,17
download medium file,with varying levels of parallelism,12,20028861982.0,18
download medium file,with varying levels of parallelism,12,20893906399.0,19
download medium file,with varying levels of parallelism,12,19183693940.0,20
