group,function,value,sample_time_nanos,iteration_count
download medium-sized file,in parallel,,36305536707.0,1
download medium-sized file,in parallel,,75220884212.0,2
download medium-sized file,in parallel,,129125055838.0,3
download medium-sized file,in parallel,,159929778757.0,4
download medium-sized file,in parallel,,197366619144.0,5
