group,function,value,sample_time_nanos,iteration_count
download medium file,with varying levels of parallelism,36,2070594187.0,1
download medium file,with varying levels of parallelism,36,8252783585.0,2
download medium file,with varying levels of parallelism,36,5962940342.0,3
download medium file,with varying levels of parallelism,36,15812889257.0,4
download medium file,with varying levels of parallelism,36,14401566545.0,5
download medium file,with varying levels of parallelism,36,23291250043.0,6
download medium file,with varying levels of parallelism,36,23500079234.0,7
download medium file,with varying levels of parallelism,36,17420382881.0,8
download medium file,with varying levels of parallelism,36,26484969808.0,9
download medium file,with varying levels of parallelism,36,34493715052.0,10
