group,function,value,sample_time_nanos,iteration_count
download small file,with varying degrees of parallelism,1,101902854.0,1
download small file,with varying degrees of parallelism,1,219417444.0,2
download small file,with varying degrees of parallelism,1,297342800.0,3
download small file,with varying degrees of parallelism,1,389618876.0,4
download small file,with varying degrees of parallelism,1,533631750.0,5
download small file,with varying degrees of parallelism,1,651717219.0,6
download small file,with varying degrees of parallelism,1,693071098.0,7
download small file,with varying degrees of parallelism,1,908256884.0,8
download small file,with varying degrees of parallelism,1,1002929089.0,9
download small file,with varying degrees of parallelism,1,1114297225.0,10
download small file,with varying degrees of parallelism,1,1353033887.0,11
download small file,with varying degrees of parallelism,1,1425380294.0,12
download small file,with varying degrees of parallelism,1,1512204336.0,13
download small file,with varying degrees of parallelism,1,1673654845.0,14
download small file,with varying degrees of parallelism,1,1678730019.0,15
download small file,with varying degrees of parallelism,1,1690489713.0,16
download small file,with varying degrees of parallelism,1,2170816463.0,17
download small file,with varying degrees of parallelism,1,2193213836.0,18
download small file,with varying degrees of parallelism,1,2137575762.0,19
download small file,with varying degrees of parallelism,1,2243108876.0,20
