group,function,value,sample_time_nanos,iteration_count
download large file,with varying levels of parallelism,12,15365213112.0,1
download large file,with varying levels of parallelism,12,30959603736.0,2
download large file,with varying levels of parallelism,12,46880651157.0,3
download large file,with varying levels of parallelism,12,56324384092.0,4
download large file,with varying levels of parallelism,12,85640205859.0,5
download large file,with varying levels of parallelism,12,102015267034.0,6
download large file,with varying levels of parallelism,12,91353695733.0,7
download large file,with varying levels of parallelism,12,178418583678.0,8
download large file,with varying levels of parallelism,12,165974478303.0,9
download large file,with varying levels of parallelism,12,191619347494.0,10
download large file,with varying levels of parallelism,12,146416881865.0,11
download large file,with varying levels of parallelism,12,240781589845.0,12
download large file,with varying levels of parallelism,12,180500252634.0,13
download large file,with varying levels of parallelism,12,205190159086.0,14
download large file,with varying levels of parallelism,12,200954397093.0,15
download large file,with varying levels of parallelism,12,212422267655.0,16
download large file,with varying levels of parallelism,12,197917762715.0,17
download large file,with varying levels of parallelism,12,278111211515.0,18
download large file,with varying levels of parallelism,12,255592798105.0,19
download large file,with varying levels of parallelism,12,283947164076.0,20
