group,function,value,sample_time_nanos,iteration_count
download large file,with varying levels of parallelism,24,16458197298.0,1
download large file,with varying levels of parallelism,24,24536217933.0,2
download large file,with varying levels of parallelism,24,50782868752.0,3
download large file,with varying levels of parallelism,24,75820977071.0,4
download large file,with varying levels of parallelism,24,95358701148.0,5
download large file,with varying levels of parallelism,24,94324558753.0,6
download large file,with varying levels of parallelism,24,120049609478.0,7
download large file,with varying levels of parallelism,24,87961628521.0,8
download large file,with varying levels of parallelism,24,113490758358.0,9
download large file,with varying levels of parallelism,24,140880211347.0,10
download large file,with varying levels of parallelism,24,134762146126.0,11
download large file,with varying levels of parallelism,24,195205922885.0,12
download large file,with varying levels of parallelism,24,201333613019.0,13
download large file,with varying levels of parallelism,24,206855765747.0,14
download large file,with varying levels of parallelism,24,236359799979.0,15
download large file,with varying levels of parallelism,24,243670118978.0,16
download large file,with varying levels of parallelism,24,247410877531.0,17
download large file,with varying levels of parallelism,24,296221548281.0,18
download large file,with varying levels of parallelism,24,331729368699.0,19
download large file,with varying levels of parallelism,24,255732395682.0,20
