group,function,value,sample_time_nanos,iteration_count
download small file,with varying degrees of parallelism,48,273353851.0,1
download small file,with varying degrees of parallelism,48,388602779.0,2
download small file,with varying degrees of parallelism,48,5436400441.0,3
download small file,with varying degrees of parallelism,48,2740664910.0,4
download small file,with varying degrees of parallelism,48,6271854536.0,5
download small file,with varying degrees of parallelism,48,1263343885.0,6
download small file,with varying degrees of parallelism,48,7427700441.0,7
download small file,with varying degrees of parallelism,48,12585948092.0,8
download small file,with varying degrees of parallelism,48,11393028382.0,9
download small file,with varying degrees of parallelism,48,11957037380.0,10
download small file,with varying degrees of parallelism,48,2330583928.0,11
download small file,with varying degrees of parallelism,48,7421418496.0,12
download small file,with varying degrees of parallelism,48,12473923760.0,13
download small file,with varying degrees of parallelism,48,7672989142.0,14
download small file,with varying degrees of parallelism,48,7903182401.0,15
download small file,with varying degrees of parallelism,48,4203641524.0,16
download small file,with varying degrees of parallelism,48,26551698020.0,17
download small file,with varying degrees of parallelism,48,9098378549.0,18
download small file,with varying degrees of parallelism,48,14033618771.0,19
download small file,with varying degrees of parallelism,48,19079651927.0,20
