group,function,value,sample_time_nanos,iteration_count
download medium file,with varying levels of parallelism,1,2599640642.0,1
download medium file,with varying levels of parallelism,1,4521714023.0,2
download medium file,with varying levels of parallelism,1,5452600239.0,3
download medium file,with varying levels of parallelism,1,6617115520.0,4
download medium file,with varying levels of parallelism,1,8769613628.0,5
download medium file,with varying levels of parallelism,1,6639047083.0,6
download medium file,with varying levels of parallelism,1,10971606039.0,7
download medium file,with varying levels of parallelism,1,15612426610.0,8
download medium file,with varying levels of parallelism,1,14514383347.0,9
download medium file,with varying levels of parallelism,1,21464942244.0,10
download medium file,with varying levels of parallelism,1,20030572854.0,11
download medium file,with varying levels of parallelism,1,12509673259.0,12
download medium file,with varying levels of parallelism,1,19803232695.0,13
download medium file,with varying levels of parallelism,1,26017266142.0,14
download medium file,with varying levels of parallelism,1,22770668531.0,15
download medium file,with varying levels of parallelism,1,25883454011.0,16
download medium file,with varying levels of parallelism,1,29551383264.0,17
download medium file,with varying levels of parallelism,1,22303615968.0,18
download medium file,with varying levels of parallelism,1,23887979825.0,19
download medium file,with varying levels of parallelism,1,31103198929.0,20
