group,function,value,sample_time_nanos,iteration_count
download small file,with varying degrees of parallelism,12,358336214.0,1
download small file,with varying degrees of parallelism,12,702828516.0,2
download small file,with varying degrees of parallelism,12,1107264325.0,3
download small file,with varying degrees of parallelism,12,1325395335.0,4
download small file,with varying degrees of parallelism,12,1670238650.0,5
download small file,with varying degrees of parallelism,12,2063305305.0,6
download small file,with varying degrees of parallelism,12,2445819378.0,7
download small file,with varying degrees of parallelism,12,2799903943.0,8
download small file,with varying degrees of parallelism,12,3243184180.0,9
download small file,with varying degrees of parallelism,12,3537011463.0,10
download small file,with varying degrees of parallelism,12,4081708302.0,11
download small file,with varying degrees of parallelism,12,4235578326.0,12
download small file,with varying degrees of parallelism,12,4656109054.0,13
download small file,with varying degrees of parallelism,12,4897282363.0,14
download small file,with varying degrees of parallelism,12,5330987056.0,15
download small file,with varying degrees of parallelism,12,6115014011.0,16
download small file,with varying degrees of parallelism,12,6680787046.0,17
download small file,with varying degrees of parallelism,12,7036287167.0,18
download small file,with varying degrees of parallelism,12,7297354838.0,19
download small file,with varying degrees of parallelism,12,8633157829.0,20
