group,function,value,sample_time_nanos,iteration_count
download small file,with varying degrees of parallelism,24,618225744.0,1
download small file,with varying degrees of parallelism,24,1164124237.0,2
download small file,with varying degrees of parallelism,24,1855281409.0,3
download small file,with varying degrees of parallelism,24,2626590005.0,4
download small file,with varying degrees of parallelism,24,3373947192.0,5
download small file,with varying degrees of parallelism,24,4052047853.0,6
download small file,with varying degrees of parallelism,24,4918948089.0,7
download small file,with varying degrees of parallelism,24,5474083024.0,8
download small file,with varying degrees of parallelism,24,6105396004.0,9
download small file,with varying degrees of parallelism,24,6402994769.0,10
download small file,with varying degrees of parallelism,24,8041329762.0,11
download small file,with varying degrees of parallelism,24,8214219749.0,12
download small file,with varying degrees of parallelism,24,8600371247.0,13
download small file,with varying degrees of parallelism,24,9568931815.0,14
download small file,with varying degrees of parallelism,24,11642431237.0,15
download small file,with varying degrees of parallelism,24,10735299002.0,16
download small file,with varying degrees of parallelism,24,11150318073.0,17
download small file,with varying degrees of parallelism,24,12888923531.0,18
download small file,with varying degrees of parallelism,24,12493931263.0,19
download small file,with varying degrees of parallelism,24,13522516889.0,20
