group,function,value,sample_time_nanos,iteration_count
download large file,with varying levels of parallelism,1,10070503771.0,1
download large file,with varying levels of parallelism,1,23240117309.0,2
download large file,with varying levels of parallelism,1,41712273480.0,3
download large file,with varying levels of parallelism,1,52104010704.0,4
download large file,with varying levels of parallelism,1,68779519416.0,5
download large file,with varying levels of parallelism,1,76950025042.0,6
download large file,with varying levels of parallelism,1,82267365662.0,7
download large file,with varying levels of parallelism,1,118166710485.0,8
download large file,with varying levels of parallelism,1,112318069597.0,9
download large file,with varying levels of parallelism,1,147069384328.0,10
download large file,with varying levels of parallelism,1,156823378741.0,11
download large file,with varying levels of parallelism,1,186506471395.0,12
download large file,with varying levels of parallelism,1,172301446203.0,13
download large file,with varying levels of parallelism,1,201341206034.0,14
download large file,with varying levels of parallelism,1,246525938696.0,15
download large file,with varying levels of parallelism,1,277082794000.0,16
download large file,with varying levels of parallelism,1,240922080866.0,17
download large file,with varying levels of parallelism,1,248837436492.0,18
download large file,with varying levels of parallelism,1,290350050587.0,19
download large file,with varying levels of parallelism,1,304013800859.0,20
