group,function,value,sample_time_nanos,iteration_count
download large file,with varying levels of parallelism,1,21343946010.0,1
download large file,with varying levels of parallelism,1,29630298703.0,2
download large file,with varying levels of parallelism,1,54772640701.0,3
download large file,with varying levels of parallelism,1,63090236732.0,4
download large file,with varying levels of parallelism,1,94717890020.0,5
download large file,with varying levels of parallelism,1,135818059857.0,6
download large file,with varying levels of parallelism,1,125052404320.0,7
download large file,with varying levels of parallelism,1,139565670097.0,8
download large file,with varying levels of parallelism,1,140490483753.0,9
download large file,with varying levels of parallelism,1,144020037252.0,10
download large file,with varying levels of parallelism,1,166218249974.0,11
download large file,with varying levels of parallelism,1,169866200321.0,12
download large file,with varying levels of parallelism,1,182680696421.0,13
download large file,with varying levels of parallelism,1,250249252832.0,14
download large file,with varying levels of parallelism,1,164923637306.0,15
download large file,with varying levels of parallelism,1,169752473368.0,16
download large file,with varying levels of parallelism,1,207508972198.0,17
download large file,with varying levels of parallelism,1,216899086460.0,18
download large file,with varying levels of parallelism,1,231114748824.0,19
download large file,with varying levels of parallelism,1,239442120572.0,20
